date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:00:00	2390/2390	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2005:59:59%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fsead2%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embeda247.json	(from http://localhost/wp/sead2/)
14:00:01	740/740	---M--	200	added ('OK')	application/rss+xml	etag:%22c5dabd90710a6111393995250612ab5f%22	http://localhost/wp/feed/?attachment_id=49	C:/My%20Web%20Sites/deploy/localhost/wp/feed/index28e4.html	(from http://localhost/wp/sead2/)
14:00:01	2559/2559	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2006:00:01%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fsead2%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed1d29	(from http://localhost/wp/sead2/)
14:00:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2006:00:02%20GMT	http://localhost/wp/?p=49	C:/My%20Web%20Sites/deploy/localhost/wp/index0012.html	(from http://localhost/wp/sead2/)
14:00:13	112004/112004	---M--	200	added ('OK')	image/jpeg	etag:%221b584-55ec80765e1c8%22	http://localhost/wp/wp-content/uploads/2017/11/daermao.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/daermao.jpg	(from http://localhost/wp/daermao/)
14:00:14	10403/10403	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2006:00:13%20GMT	http://localhost/wp/cropped-banner-jpg/	C:/My%20Web%20Sites/deploy/localhost/wp/cropped-banner-jpg/index.html	(from http://localhost/wp/sead2/)
14:00:14	76062/76062	---M--	200	added ('OK')	image/jpeg	etag:%221291e-55ec807ac5dc8%22	http://localhost/wp/wp-content/uploads/2017/11/sead2.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/sead2.jpg	(from http://localhost/wp/sead2/)
14:00:15	2395/2395	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2006:00:14%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F2017%2F11%2F19%2Fhello-world%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embeddbf6.json	(from http://localhost/wp/2017/11/19/hello-world/)
14:00:15	159935/159935	---M--	200	added ('OK')	image/jpeg	etag:%22270bf-55ec80792c6a1%22	http://localhost/wp/wp-content/uploads/2017/11/land.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/land.jpg	(from http://localhost/wp/%e4%ba%a7%e5%93%81%e5%b1%95%e7%a4%ba/land/)
14:00:15	1594/1594	---M--	200	added ('OK')	application/rss+xml	etag:%22c5dabd90710a6111393995250612ab5f%22	http://localhost/wp/2017/11/19/hello-world/feed/	C:/My%20Web%20Sites/deploy/localhost/wp/2017/11/19/hello-world/feed/index.html	(from http://localhost/wp/2017/11/19/hello-world/)
14:00:15	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2006:00:15%20GMT	http://localhost/wp/?p=1	C:/My%20Web%20Sites/deploy/localhost/wp/indexcff1.html	(from http://localhost/wp/2017/11/19/hello-world/)
14:00:16	2557/2557	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2006:00:15%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2F2017%2F11%2F19%2Fhello-world%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embeda9a7	(from http://localhost/wp/2017/11/19/hello-world/)
14:00:16	1711/1711	---M--	200	added ('OK')	application/rss+xml	etag:%2273cf5bbfbfc4bf3f10f22a7428919979%22	http://localhost/wp/author/shanliang/feed/	C:/My%20Web%20Sites/deploy/localhost/wp/author/shanliang/feed/index.html	(from http://localhost/wp/author/shanliang/)
14:00:17	12386/12386	---MC-	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2006:00:15%20GMT	http://localhost/wp/2017/11/19/hello-world/?replytocom=1	C:/My%20Web%20Sites/deploy/localhost/wp/2017/11/19/hello-world/index6809.html	(from http://localhost/wp/2017/11/19/hello-world/)
14:00:17	1717/1717	---M--	200	added ('OK')	application/rss+xml	etag:%2273cf5bbfbfc4bf3f10f22a7428919979%22	http://localhost/wp/category/uncategorized/feed/	C:/My%20Web%20Sites/deploy/localhost/wp/category/uncategorized/feed/index.html	(from http://localhost/wp/category/uncategorized/)
14:00:17	2254/2254	---M--	200	added ('OK')	image/gif	etag:%228ce-50682cd36f780%22	http://localhost/wp/wp-admin/images/loading.gif	C:/My%20Web%20Sites/deploy/localhost/wp/wp-admin/images/loading.gif	(from http://localhost/wp/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9)
14:00:17	1521/1521	---M--	200	added ('OK')	image/svg+xml	etag:%225f1-51300c013bcc0%22	http://localhost/wp/wp-admin/images/wordpress-logo.svg?ver=20131107	C:/My%20Web%20Sites/deploy/localhost/wp/wp-admin/images/wordpress-logo7d6b.svg	(from http://localhost/wp/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9)
14:00:18	3113/3113	---M--	200	added ('OK')	image/png	etag:%22c29-4f2451f061480%22	http://localhost/wp/wp-admin/images/w-logo-blue.png?ver=20131202	C:/My%20Web%20Sites/deploy/localhost/wp/wp-admin/images/w-logo-blue7a53.png	(from http://localhost/wp/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9)
14:00:18	2301/2301	---M--	200	added ('OK')	text/html	date:Sat,%2025%20Nov%202017%2006:00:18%20GMT	http://localhost/wp/wp-login.php?redirect_to=http%3A%2F%2Flocalhost%2Fwp%2Fwp-admin%2F%26reauth=1	C:/My%20Web%20Sites/deploy/localhost/wp/wp-login1181.html	(from http://localhost/wp/wp-admin/)
14:00:19	2408/2408	---M--	200	added ('OK')	application/json	date:Sat,%2025%20Nov%202017%2006:00:18%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fdaermao2%2F	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embedef81.json	(from http://localhost/wp/daermao2/)
14:00:19	746/746	---M--	200	added ('OK')	application/rss+xml	etag:%22c5dabd90710a6111393995250612ab5f%22	http://localhost/wp/feed/?attachment_id=44	C:/My%20Web%20Sites/deploy/localhost/wp/feed/indexac17.html	(from http://localhost/wp/daermao2/)
14:00:19	147372/147372	---M--	200	added ('OK')	image/jpeg	etag:%2223fac-55ec8079f51c0%22	http://localhost/wp/wp-content/uploads/2017/11/sead.jpg	C:/My%20Web%20Sites/deploy/localhost/wp/wp-content/uploads/2017/11/sead.jpg	(from http://localhost/wp/sead/)
14:00:19	22449/22449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2257b1-52e588fac8080%22	http://localhost/wp/wp-includes/fonts/dashicons.eot	C:/My%20Web%20Sites/deploy/localhost/wp/wp-includes/fonts/dashicons.eot	(from http://localhost/wp/wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9)
14:00:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2025%20Nov%202017%2006:00:19%20GMT	http://localhost/wp/?p=44	C:/My%20Web%20Sites/deploy/localhost/wp/index49b1.html	(from http://localhost/wp/daermao2/)
14:00:19	2577/2577	---M--	200	added ('OK')	text/xml	date:Sat,%2025%20Nov%202017%2006:00:19%20GMT	http://localhost/wp/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwp%2Fdaermao2%2F&format=xml	C:/My%20Web%20Sites/deploy/localhost/wp/wp-json/oembed/1.0/embed8fe4	(from http://localhost/wp/daermao2/)
